playerID,yearID,teamID,G,AB,R,H,X2B,X3B,HR,BB,HBP,SF,salary
newhada01,2006,BAL,39,131,14,33,4,0,4,7,2,3,575000
niekrla01,2006,SFN,66,199,27,49,9,2,5,11,0,0,390000
nievewi01,2006,NYA,6,6,0,0,0,0,0,0,0,0,382150
nippedu01,2006,ARI,2,2,0,0,0,0,0,0,0,0,380000
nixla01,2006,TEX,9,32,1,3,1,0,0,0,1,1,390000
nixla01,2006,MIL,10,35,2,8,1,0,1,0,1,0,390000
nixontr01,2006,BOS,114,381,59,102,24,0,8,60,7,5,3000000
nolasri01,2006,FLO,35,41,2,7,0,0,1,2,0,0,380000
nortogr01,2006,TBA,98,294,47,87,15,0,17,35,3,2,800000
nunezab01,2006,PHI,123,322,42,68,10,2,2,41,2,1,1925000
nunezle01,2006,KCA,7,0,0,0,0,0,0,0,0,0,382000
oconnmi01,2006,WAS,21,31,2,2,0,0,0,1,0,0,380000
ohkato01,2006,MIL,18,31,0,5,1,0,0,1,0,0,1500000
ohmanwi01,2006,CHN,78,1,0,1,0,0,0,0,0,0,900000
oliveda02,2006,NYN,45,15,2,2,1,0,0,1,0,0,1500000
olivomi01,2006,FLO,127,430,52,113,22,3,16,9,7,3,2000000
olsensc01,2006,FLO,32,58,3,11,2,0,0,0,0,0,380000
ordonma01,2006,DET,155,593,82,177,32,1,24,45,4,4,13200000
orrpe01,2006,ATL,102,154,22,39,3,4,1,5,0,0,400000
ortizda01,2006,BOS,151,558,115,160,29,2,54,119,4,5,13250000
ortizra01,2006,WAS,38,56,5,6,0,0,1,3,0,0,3100000
ortizru01,2006,ARI,6,4,0,0,0,0,0,1,0,0,380000
ortizru01,2006,BAL,20,2,1,2,0,0,0,1,0,0,380000
oswalro01,2006,HOU,35,66,3,10,1,0,1,4,0,0,13000000
otsukak01,2006,TEX,63,0,0,0,0,0,0,0,0,0,3000000
overbly01,2006,TOR,157,581,82,181,46,1,22,55,2,2,1350000
owenshe01,2006,NYN,3,0,0,0,0,0,0,0,0,0,380000
ozupa01,2006,CHA,79,189,25,62,12,2,2,7,4,0,800000
padilvi01,2006,TEX,33,1,0,0,0,0,0,0,0,0,9000000
palmeor01,2006,HOU,103,119,12,30,6,1,0,6,1,0,950000
papeljo01,2006,BOS,59,0,0,0,0,0,0,0,0,0,425500
paronch01,2006,ATL,65,1,0,0,0,0,0,0,0,0,420000
patteco01,2006,BAL,135,463,75,128,19,5,16,21,5,1,4300000
pattejo02,2006,WAS,8,8,0,2,0,0,0,0,0,0,850000
pauliro01,2006,PIT,129,442,37,137,19,0,6,34,2,2,401000
pauljo01,2006,TBA,58,146,15,38,9,0,1,14,1,1,625000
paytoja01,2006,OAK,142,557,78,165,32,3,10,22,4,5,4500000
peavyja01,2006,SDN,32,60,6,10,3,0,2,1,0,0,4750000
pedrodu01,2006,BOS,31,89,5,17,4,0,2,7,1,0,380000
pebr01,2006,ATL,23,41,9,11,2,0,1,2,0,0,380000
peca01,2006,BOS,18,33,3,9,2,0,1,4,0,0,800000
peto02,2006,ATL,40,44,12,10,2,0,1,2,0,0,380000
peto03,2006,ARI,25,2,0,0,0,0,0,0,0,0,381000
pewi01,2006,BOS,84,276,36,83,15,2,11,20,3,5,1875000
pennybr01,2006,LAN,34,65,3,12,3,0,0,0,0,0,7750000
peraljh01,2006,CLE,149,569,84,146,28,3,13,56,1,3,1000000
peraljo01,2006,KCA,64,0,0,0,0,0,0,0,0,0,400500
perezju01,2006,PIT,7,0,0,0,0,0,0,0,0,0,380000
perezne01,2006,DET,21,65,4,13,1,0,0,3,0,0,2500000
perezne01,2006,CHN,87,236,27,60,13,1,2,5,0,3,2500000
perezod01,2006,LAN,21,15,3,1,0,0,0,1,0,0,7750000
perezod01,2006,KCA,12,0,0,0,0,0,0,0,0,0,7750000
perezol01,2006,PIT,16,25,0,3,0,0,0,0,0,0,2325000
perezol01,2006,NYN,7,13,0,1,0,0,0,2,0,0,2325000
pettian01,2006,HOU,38,62,4,12,3,0,1,1,0,0,16000000
phillbr01,2006,CIN,149,536,65,148,28,1,17,35,6,6,407500
phillja04,2006,TOR,25,48,4,12,6,0,0,1,1,1,500000
piazzmi01,2006,SDN,126,399,39,113,19,1,22,34,3,3,8500000
pierrju01,2006,CHN,162,699,87,204,32,13,3,32,8,1,7500000
pierzaj01,2006,CHA,140,509,65,150,24,0,16,22,8,1,5500000
pineijo01,2006,SEA,40,4,0,0,0,0,0,0,0,0,4000000
pintore01,2006,FLO,27,1,0,0,0,0,0,0,0,0,380000
podsesc01,2006,CHA,139,524,86,137,27,6,3,54,2,4,2900000
polanpl01,2006,DET,110,461,58,136,18,1,4,17,7,2,4600000
ponsosi01,2006,NYA,5,0,0,0,0,0,0,0,0,0,1000000
ponsosi01,2006,SLN,14,13,1,3,0,0,0,3,0,0,1000000
posadjo01,2006,NYA,143,465,65,129,27,2,23,64,11,5,12000000
proctsc01,2006,NYA,83,0,0,0,0,0,0,0,0,0,455923
pujolal01,2006,SLN,143,535,119,177,33,1,49,92,4,3,12937813
puntoni01,2006,MIN,135,459,73,133,21,7,1,47,1,7,1800000
putzjj01,2006,SEA,72,0,0,0,0,0,0,0,0,0,2700000
quallch01,2006,HOU,81,0,0,0,0,0,0,0,0,0,441000
quentca01,2006,ARI,57,166,23,42,13,3,9,15,8,1,381000
quinlro01,2006,LAA,86,234,28,75,11,1,9,7,2,1,800000
quinthu01,2006,HOU,11,21,2,7,2,0,0,1,0,0,385000
rabelmi01,2006,DET,1,1,0,0,0,0,0,0,0,0,380000
ramirar01,2006,CHN,157,594,93,173,38,4,38,50,9,7,9000000
ramirel01,2006,CIN,21,26,2,5,1,0,0,1,0,0,390000
ramirha01,2006,FLO,158,633,119,185,46,11,17,56,4,2,402000
ramirho01,2006,ATL,14,24,2,3,0,0,0,1,0,0,2650000
ramirma02,2006,BOS,130,449,79,144,27,1,35,100,1,8,17016381
ramirra02,2006,COL,61,4,0,2,0,0,0,0,0,0,386000
rasneda01,2006,NYA,6,0,0,0,0,0,0,0,0,0,384523
rauchjo01,2006,WAS,85,4,0,0,0,0,0,0,0,0,455000
raych01,2006,BAL,61,0,0,0,0,0,0,0,0,0,420000
redmama01,2006,KCA,29,1,0,0,0,0,0,1,0,0,750000
redmomi01,2006,MIN,47,179,20,61,13,0,0,4,4,2,950000
reitsch01,2006,ATL,27,0,0,0,0,0,0,0,0,0,1350000
renteed01,2006,ATL,149,598,100,175,40,2,14,62,3,2,9000000
repkoja01,2006,LAN,69,130,21,33,5,1,3,15,3,0,395000
reyesan01,2006,SLN,18,25,1,3,0,0,0,0,0,0,392500
reyesde01,2006,MIN,66,0,0,0,0,0,0,0,0,0,1000000
reyesjo01,2006,NYN,153,647,122,194,30,17,19,53,1,0,2875000
rheinjo01,2006,TEX,21,0,0,0,0,0,0,0,1,0,382000
rhodear01,2006,PHI,55,0,0,0,0,0,0,0,0,0,1000000
rincoju01,2006,MIN,75,0,0,0,0,0,0,0,0,0,2000000
riosal01,2006,TOR,128,450,68,136,33,6,17,35,3,10,2535000
riskeda01,2006,CHA,33,0,0,0,0,0,0,0,0,0,2000000
riskeda01,2006,BOS,8,0,0,0,0,0,0,0,0,0,2000000
riverju01,2006,LAA,124,448,65,139,27,0,23,33,7,6,2025000
riverma01,2006,NYA,63,1,0,0,0,0,0,0,0,0,10500000
rlealse01,2006,BAL,42,0,0,0,0,0,0,0,0,0,380000
roberbr01,2006,BAL,138,563,85,161,34,3,10,55,0,5,4200000
roberda07,2006,SDN,129,499,80,146,18,13,2,51,4,5,5000000
rober01,2006,DET,32,6,0,1,0,0,0,0,0,0,3260000
rodnefe01,2006,DET,63,1,0,0,0,0,0,0,0,0,1000000
rodrial01,2006,NYA,154,572,113,166,26,1,35,90,8,4,22708525
rodrifr03,2006,LAA,69,0,0,0,0,0,0,0,0,0,7000000
rodriiv01,2006,DET,136,547,74,164,28,4,13,26,1,2,10567639
rodrilu01,2006,MIN,59,115,11,27,4,0,2,14,0,1,392000
rodriwa01,2006,HOU,30,37,4,3,0,0,0,1,0,0,406000
rogerke01,2006,DET,34,7,0,1,1,0,0,0,0,0,8000000
rolensc01,2006,SLN,142,521,94,154,48,1,22,56,9,8,12311637
rolliji01,2006,PHI,158,689,127,191,45,9,25,57,5,7,8000000
romerda01,2006,TOR,7,0,0,0,0,0,0,0,0,0,381500
romerjc01,2006,LAA,65,0,0,0,0,0,0,0,0,0,1600000
rossco01,2006,CIN,2,5,0,1,0,0,0,0,0,0,380000
rossco01,2006,FLO,91,250,30,53,11,1,11,22,4,2,380000
rossco01,2006,LAN,8,14,4,7,1,1,2,0,0,0,380000
rossda01,2006,CIN,90,247,37,63,15,1,21,37,3,5,1600000
rousemi01,2006,OAK,8,24,2,7,3,0,0,1,1,0,380100
rowaa01,2006,PHI,109,405,59,106,24,3,12,18,18,2,4350000
ruizca01,2006,PHI,27,69,5,18,1,1,3,5,1,1,380000
ryanbj01,2006,TOR,65,0,0,0,0,0,0,0,0,0,7000000
ryuja01,2006,CHN,10,1,0,0,0,0,0,0,0,0,382200
saarlki01,2006,OAK,35,0,0,0,0,0,0,0,0,0,1200000
sabatcc01,2006,CLE,28,9,0,2,0,0,0,0,0,0,8750000
saenzol01,2006,LAN,103,179,30,53,15,0,11,14,7,4,1000000
saitota01,2006,LAN,72,0,0,0,0,0,0,0,0,0,1000000
salasju01,2006,TBA,8,0,0,0,0,0,0,0,0,0,382000
sampsch01,2006,HOU,12,5,0,0,0,0,0,0,0,0,380000
sanchan01,2006,FLO,18,35,1,4,0,0,0,0,0,0,381000
sanchan02,2006,KCA,8,27,2,6,0,0,0,0,0,1,380000
sanchdu01,2006,NYN,49,1,1,0,0,0,0,0,1,0,850000
sanchfr01,2006,PIT,157,582,85,200,53,2,6,31,7,9,2750000
sanchjo01,2006,SFN,27,7,1,0,0,0,0,1,0,0,381000
sandere02,2006,KCA,88,325,45,80,23,1,11,28,1,4,5000000
santaer01,2006,LAA,33,4,0,1,0,0,0,0,0,0,425000
santajo01,2006,MIN,34,2,0,0,0,0,0,0,0,0,13000000
saundjo01,2006,LAA,13,0,0,0,0,0,0,0,0,0,380000
schilcu01,2006,BOS,31,2,0,1,0,0,0,0,0,0,13000000
schmija01,2006,SFN,32,66,4,9,3,0,1,0,0,0,15703946
schnebr01,2006,WAS,124,410,30,105,18,0,4,38,2,3,3500000
schoesc01,2006,CIN,16,0,0,0,0,0,0,0,0,0,3600000
schoesc01,2006,TOR,55,0,0,0,0,0,0,0,0,0,3600000
schumsk01,2006,SLN,28,54,3,10,1,0,1,5,0,0,382000
scottlu01,2006,HOU,65,214,31,72,19,6,10,30,4,1,382000
scutama01,2006,OAK,117,365,52,97,21,6,5,50,0,5,1550000
seaneru01,2006,BOS,41,0,0,0,0,0,0,0,0,0,700000
seaneru01,2006,SDN,8,0,0,0,0,0,0,0,0,0,700000
seaybo01,2006,DET,14,0,0,0,0,0,0,0,0,0,450000
seleaa01,2006,LAN,28,26,2,5,1,0,0,1,0,0,1000000
seoja01,2006,TBA,17,1,0,0,0,0,0,0,0,0,1200000
seoja01,2006,LAN,19,18,0,2,0,0,0,1,0,0,1200000
sexsori01,2006,SEA,158,591,75,156,40,0,34,64,4,4,15500000
shealry01,2006,COL,5,9,2,2,2,0,0,0,0,0,392500
shealry01,2006,KCA,51,193,29,54,10,1,7,15,2,0,392500
sheetbe01,2006,MIL,17,33,1,1,0,0,0,1,0,0,11125000
sheffga01,2006,NYA,39,151,22,45,5,0,6,13,1,1,10916071
sherrge01,2006,SEA,72,0,0,0,0,0,0,0,0,0,395000
shielja02,2006,TBA,21,8,2,3,0,0,0,0,0,0,394900
shielsc01,2006,LAA,74,1,0,0,0,0,0,0,0,0,3400000
shoppke01,2006,CLE,41,110,7,27,6,0,3,8,0,0,383400
shousbr01,2006,TEX,6,0,0,0,0,0,0,0,0,0,975000
